0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198
MWh	Varme	El 2018	El lavenergi	Overtemperatur i rum	MWh	Eksisterende bygning	kWh/m²	BR 2018	kWh/m²	Lavenergi	kWh/m²	MWh	Kedel/fjernvarme	Gasstrålevarmere	Gasvandvarmere	Køling	I alt	kWh/m²	kWh	Centralvarmeanlæg	Varmt brugsvand	Ventilationsanlæg	Kedel/fjernvarme	Varmepumpe	Solvarme	Rumopvarmning	Dec. elvandvarmere	Køling	Belysning	I alt til bygningsdrift	kWh/m²	kWh	Anden belysning	Apperatur	I alt til andet	kWh/m²	kWh	Bygningen	VE-el indregnet	Resulterende elbehov	MWh	I rum	Vent. varmefl.	Rørtab	I alt	I alt, kWh/m²	MWh	Kedel/fjernvarme	Solvarmeanlæg	Varmepumpe	El-rumopvarmning	El-VF i ventilationsanlæg	Brændeovne mm.	I alt	m³	Samlet forbrug	m³	Centralanlæg	Decentrale elvarmere	Decentrale gasvarmere	I alt	MWh	Central VVB	Dec. elvarmer	Dec. gasvarmer	Opvarmning i alt	Tab central VVB	Tab tilslutningsrør til VVB	VBV rørtab	Tab dec. elvandvarmere	Tab dec. gasvandvarmere	Tab i alt	I alt	kWh/m²	MWh	Kedel/fjernvarme	Solvarmeanlæg	Varmepumpe	El-opv. af central-VVB	El-tracing af VBV rør	Dec. elvandvarmere	Dec. gasvandvarmere	I alt	kWh	Direkte rumopv.	Pumper	I alt	kWh/m²	kWh	El-opv. af central-VVB	El-tracing af VBV rør	Ladekredspumpe	Cirkulationspumpe vbv	I alt	kWh/m²	kWh	Varmeflader	Ventilatorer	I alt	kWh/m²	MWh	Ydelse	Forbrug	Udnytteligt varmetab	Virkningsgrad	kWh	Brænder, kWh	Automatik, kWh	I alt	kWh/m²	MWh	Ydelse, Rumopv.	Ydelse, VBV	I alt	Dækningsgr. Rumopv.	Dækningsgr. VBV	kWh	Elbehov, rumopv.	Elbehov, stb. rumopv.	Elbehov, VBV	Elbehov, stb. VBV	I alt	kWh/m²	MWh	Ydelse, Rumopv.	Ydelse, VBV	I alt	Dækningsgr. Rumopv.	Dækningsgr. VBV	kWh	Pumpe	Automatik	I alt	kWh/m²	kWh	Almen i brugstiden	Alm. st.-by udenf. brug	Arbejdsbelysning i brugstid	I alt	kWh/m²	kWh	I brugstiden	Natforbrug	Parkeringskældre mv	Udelys	I alt	kWh/m²	kWh	Apperatur	Natforbrug, apparatur	Særligt app. i brugstiden	Særligt app. altid	I alt	kWh/m²	kWh	Bygningens samlede el-behov	Elbehov til bygningsdrift	Solcelle ydelse	kWh/m²	Vindmølle ydelse	kWh/m²	VE-el ydelse	kWh/m²	VE-el indregnet 2018	kWh/m²	VE-el indregnet lavenergi	kWh/m²	MWh	Varmetab	Solindfald	Internt tilskud	Fra rør og VVB	Samlet tilskud	Relativt tilskud	Udnyttelses-faktor	Del af mnd. med opv.	Varmebehov	Opvarm. i vent. VF	Netto rumopvarmning	I alt, kWh/m²		Solafsk., red. faktor	Forcering, andel	Natventilation, andel	Mekanisk køling, andel		m³/s	l/s m²		Tidsandel		MWh	kWh/m²	Varmetab	Ventilation uden vgv om vinteren	I alt	Ventilation med vgv om vinteren	I alt
Jan	2,94	0,60	0,60	0,00	Jan	3,65	9,0	3,65	9,0	3,65	9,0	Jan	2,94	0,00	0,00	0,00	2,94	7,2	Jan	51	0	106	4	0	0	0	0	0	444	604	1,5	Jan	0	79	79	0,2	Jan	684	0	604	Jan	2,20	0,10	0,64	2,94	7,2	Jan	2,94	0,00	0,00	0,00	0,00	0,00	2,94	Jan	3,5	Jan	3,5	0,0	0,0	3,5	Jan	0,18	0,00	0,00	0,18	0,00	0,00	0,00	0,00	0,00	0,00	0,18	0,4	Jan	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Jan	0	51	51	0,1	Jan	0	0	0	0	0	0,0	Jan	0	106	106	0,3	Jan	2,94	2,95	0,02	99	Jan	0	4	4	0,0	Jan	0,00	0,00	0,00	0,00	0,00	Jan	0	0	0	0	0	0,0	Jan	0,00	0,00	0,00	0,00	0,00	Jan	0	0	0	0,0	Jan	441	0	3	444	1,1	Jan	0	0	0	0	0	0,0	Jan	79	0	0	0	79	0,2	Jan	684	604	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	Jan	4,06	0,34	1,14	0,64	2,12	0,36	0,88	1,00	2,20	0,10	2,30	5,6	Jan	0,97	0,00	0,00	0,00	Jan	0,14	0,35	Jan	0,00	Jan	0,00	0,0	18,0	34,4	52,4	5,2	23,2
Feb	2,43	0,55	0,55	0,00	Feb	3,11	7,6	3,11	7,6	3,11	7,6	Feb	2,43	0,00	0,00	0,00	2,43	6,0	Feb	46	0	95	3	0	0	0	0	0	401	546	1,3	Feb	0	72	72	0,2	Feb	617	0	546	Feb	1,76	0,09	0,59	2,43	6,0	Feb	2,43	0,00	0,00	0,00	0,00	0,00	2,43	Feb	3,1	Feb	3,1	0,0	0,0	3,1	Feb	0,16	0,00	0,00	0,16	0,00	0,00	0,00	0,00	0,00	0,00	0,16	0,4	Feb	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Feb	0	46	46	0,1	Feb	0	0	0	0	0	0,0	Feb	0	95	95	0,2	Feb	2,43	2,45	0,01	99	Feb	0	3	3	0,0	Feb	0,00	0,00	0,00	0,00	0,00	Feb	0	0	0	0	0	0,0	Feb	0,00	0,00	0,00	0,00	0,00	Feb	0	0	0	0,0	Feb	398	0	3	401	1,0	Feb	0	0	0	0	0	0,0	Feb	72	0	0	0	72	0,2	Feb	617	546	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	Feb	3,71	0,72	1,03	0,59	2,34	0,47	0,84	1,00	1,76	0,09	1,85	4,5	Feb	0,96	0,00	0,00	0,00	Feb	0,14	0,35	Feb	0,00	Feb	0,00	0,0					
Mar	2,52	0,60	0,60	0,00	Mar	3,28	8,1	3,28	8,1	3,28	8,1	Mar	2,52	0,00	0,00	0,00	2,52	6,2	Mar	51	0	106	4	0	0	0	0	0	438	599	1,5	Mar	0	79	79	0,2	Mar	678	0	599	Mar	1,71	0,12	0,69	2,52	6,2	Mar	2,52	0,00	0,00	0,00	0,00	0,00	2,52	Mar	3,5	Mar	3,5	0,0	0,0	3,5	Mar	0,18	0,00	0,00	0,18	0,00	0,00	0,00	0,00	0,00	0,00	0,18	0,4	Mar	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Mar	0	51	51	0,1	Mar	0	0	0	0	0	0,0	Mar	0	106	106	0,3	Mar	2,52	2,54	0,02	99	Mar	0	4	4	0,0	Mar	0,00	0,00	0,00	0,00	0,00	Mar	0	0	0	0	0	0,0	Mar	0,00	0,00	0,00	0,00	0,00	Mar	0	0	0	0,0	Mar	435	0	3	438	1,1	Mar	0	0	0	0	0	0,0	Mar	79	0	0	0	79	0,2	Mar	678	599	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	Mar	4,34	1,56	1,13	0,69	3,38	0,62	0,78	1,00	1,71	0,12	1,83	4,5	Mar	0,96	0,00	0,00	0,00	Mar	0,14	0,35	Mar	0,00	Mar	0,00	0,0					
Apr	0,81	0,55	0,55	0,08	Apr	1,82	4,5	1,82	4,5	1,82	4,5	Apr	0,81	0,00	0,00	0,00	0,81	2,0	Apr	41	0	102	4	0	0	0	0	0	402	548	1,3	Apr	0	77	77	0,2	Apr	625	0	548	Apr	0,47	0,00	0,34	0,81	2,0	Apr	0,81	0,00	0,00	0,00	0,00	0,00	0,81	Apr	3,3	Apr	3,3	0,0	0,0	3,3	Apr	0,18	0,00	0,00	0,18	0,00	0,00	0,00	0,00	0,00	0,00	0,18	0,4	Apr	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Apr	0	41	41	0,1	Apr	0	0	0	0	0	0,0	Apr	0	102	102	0,3	Apr	0,81	0,82	0,01	99	Apr	0	4	4	0,0	Apr	0,00	0,00	0,00	0,00	0,00	Apr	0	0	0	0	0	0,0	Apr	0,00	0,00	0,00	0,00	0,00	Apr	0	0	0	0,0	Apr	399	0	3	402	1,0	Apr	0	0	0	0	0	0,0	Apr	77	0	0	0	77	0,2	Apr	625	548	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	Apr	2,69	2,18	1,07	0,34	3,59	1,21	0,59	0,83	0,47	0,00	0,47	1,2	Apr	0,95	0,43	0,37	0,00	Apr	0,10	0,25	Apr	0,23	Apr	0,00	0,0					
Maj	0,00	0,51	0,51	0,54	Maj	1,51	3,7	1,51	3,7	1,51	3,7	Maj	0,00	0,00	0,00	0,00	0,00	0,0	Maj	0	0	106	4	0	0	0	0	0	403	512	1,3	Maj	0	79	79	0,2	Maj	592	0	512	Maj	0,00	0,00	0,00	0,00	0,0	Maj	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Maj	3,5	Maj	3,5	0,0	0,0	3,5	Maj	0,18	0,00	0,00	0,18	0,00	0,00	0,00	0,00	0,00	0,00	0,18	0,4	Maj	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Maj	0	0	0	0,0	Maj	0	0	0	0	0	0,0	Maj	0	106	106	0,3	Maj	0,00	0,00	0,00	0	Maj	0	4	4	0,0	Maj	0,00	0,00	0,00	0,00	0,00	Maj	0	0	0	0	0	0,0	Maj	0,00	0,00	0,00	0,00	0,00	Maj	0	0	0	0,0	Maj	400	0	3	403	1,0	Maj	0	0	0	0	0	0,0	Maj	79	0	0	0	79	0,2	Maj	592	512	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	Maj	1,90	2,54	1,10	0,00	3,64	1,91	0,46	0,00	0,00	0,00	0,00	0,0	Maj	0,96	0,70	0,67	0,00	Maj	0,07	0,18	Maj	0,47	Maj	0,00	0,0					
Jun	0,00	0,48	0,48	0,81	Jun	1,73	4,3	1,73	4,3	1,73	4,3	Jun	0,00	0,00	0,00	0,00	0,00	0,0	Jun	0	0	102	4	0	0	0	0	0	378	484	1,2	Jun	0	77	77	0,2	Jun	560	0	484	Jun	0,00	0,00	0,00	0,00	0,0	Jun	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Jun	3,3	Jun	3,3	0,0	0,0	3,3	Jun	0,18	0,00	0,00	0,18	0,00	0,00	0,00	0,00	0,00	0,00	0,18	0,4	Jun	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Jun	0	0	0	0,0	Jun	0	0	0	0	0	0,0	Jun	0	102	102	0,3	Jun	0,00	0,00	0,00	0	Jun	0	4	4	0,0	Jun	0,00	0,00	0,00	0,00	0,00	Jun	0	0	0	0	0	0,0	Jun	0,00	0,00	0,00	0,00	0,00	Jun	0	0	0	0,0	Jun	375	0	3	378	0,9	Jun	0	0	0	0	0	0,0	Jun	77	0	0	0	77	0,2	Jun	560	484	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	Jun	1,32	2,45	1,05	0,00	3,50	2,65	0,35	0,00	0,00	0,00	0,00	0,0	Jun	0,97	0,86	0,86	0,00	Jun	0,06	0,14	Jun	0,68	Jun	0,00	0,0					
Jul	0,00	0,51	0,51	1,60	Jul	2,56	6,3	2,56	6,3	2,56	6,3	Jul	0,00	0,00	0,00	0,00	0,00	0,0	Jul	0	0	106	4	0	0	0	0	0	396	505	1,2	Jul	0	79	79	0,2	Jul	584	0	505	Jul	0,00	0,00	0,00	0,00	0,0	Jul	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Jul	3,5	Jul	3,5	0,0	0,0	3,5	Jul	0,18	0,00	0,00	0,18	0,00	0,00	0,00	0,00	0,00	0,00	0,18	0,4	Jul	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Jul	0	0	0	0,0	Jul	0	0	0	0	0	0,0	Jul	0	106	106	0,3	Jul	0,00	0,00	0,00	0	Jul	0	4	4	0,0	Jul	0,00	0,00	0,00	0,00	0,00	Jul	0	0	0	0	0	0,0	Jul	0,00	0,00	0,00	0,00	0,00	Jul	0	0	0	0,0	Jul	393	0	3	396	1,0	Jul	0	0	0	0	0	0,0	Jul	79	0	0	0	79	0,2	Jul	584	505	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	Jul	0,66	2,64	1,09	0,00	3,73	5,69	0,17	0,00	0,00	0,00	0,00	0,0	Jul	0,97	0,98	0,99	0,00	Jul	0,04	0,11	Jul	0,95	Jul	0,00	0,0					
Aug	0,00	0,52	0,52	1,35	Aug	2,34	5,8	2,34	5,8	2,34	5,8	Aug	0,00	0,00	0,00	0,00	0,00	0,0	Aug	0	0	106	4	0	0	0	0	0	415	525	1,3	Aug	0	79	79	0,2	Aug	604	0	525	Aug	0,00	0,00	0,00	0,00	0,0	Aug	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Aug	3,5	Aug	3,5	0,0	0,0	3,5	Aug	0,18	0,00	0,00	0,18	0,00	0,00	0,00	0,00	0,00	0,00	0,18	0,4	Aug	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Aug	0	0	0	0,0	Aug	0	0	0	0	0	0,0	Aug	0	106	106	0,3	Aug	0,00	0,00	0,00	0	Aug	0	4	4	0,0	Aug	0,00	0,00	0,00	0,00	0,00	Aug	0	0	0	0	0	0,0	Aug	0,00	0,00	0,00	0,00	0,00	Aug	0	0	0	0,0	Aug	412	0	3	415	1,0	Aug	0	0	0	0	0	0,0	Aug	79	0	0	0	79	0,2	Aug	604	525	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	Aug	0,64	2,36	1,11	0,00	3,47	5,46	0,18	0,00	0,00	0,00	0,00	0,0	Aug	0,96	0,97	0,98	0,00	Aug	0,05	0,11	Aug	0,92	Aug	0,00	0,0					
Sep	0,00	0,53	0,53	0,37	Sep	1,37	3,4	1,37	3,4	1,37	3,4	Sep	0,00	0,00	0,00	0,00	0,00	0,0	Sep	0	0	102	4	0	0	0	0	0	422	528	1,3	Sep	0	77	77	0,2	Sep	605	0	528	Sep	0,00	0,00	0,00	0,00	0,0	Sep	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Sep	3,3	Sep	3,3	0,0	0,0	3,3	Sep	0,18	0,00	0,00	0,18	0,00	0,00	0,00	0,00	0,00	0,00	0,18	0,4	Sep	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	Sep	0	0	0	0,0	Sep	0	0	0	0	0	0,0	Sep	0	102	102	0,3	Sep	0,00	0,00	0,00	0	Sep	0	4	4	0,0	Sep	0,00	0,00	0,00	0,00	0,00	Sep	0	0	0	0	0	0,0	Sep	0,00	0,00	0,00	0,00	0,00	Sep	0	0	0	0,0	Sep	420	0	3	422	1,0	Sep	0	0	0	0	0	0,0	Sep	77	0	0	0	77	0,2	Sep	605	528	0	0,0	0	0,0	0	0,0	0	0,0	0	0,0	Sep	1,26	1,84	1,09	0,00	2,93	2,33	0,39	0,00	0,00	0,00	0,00	0,0	Sep	0,95	0,75	0,72	0,00	Sep	0,07	0,17	Sep	0,48	Sep	0,00	0,0					
